ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location,Case Rate - Weekly (Norm),Death Rate - Weekly (Norm),Test Rate - Weekly (Norm)
60612,14,2022-04-03,2022-04-09,31.0,7670.0,90.0,22354.3,2121.0,181657,6182,529442.5,0.0,0.0,0,101,0.0,294.4,34311,60612-2022-14,POINT (-87.687011 41.88004),0.28125,0.0,0.8198938992042439
60612,17,2022-04-24,2022-04-30,82.0,7852.0,239.0,22884.8,2427.0,187641,7074,546882.9,0.0,0.0,0,101,0.0,294.4,34311,60612-2022-17,POINT (-87.687011 41.88004),0.7468750000000001,0.0,0.9381962864721485
60612,18,2022-05-01,2022-05-07,86.0,7938.0,251.0,23135.4,2426.0,190067,7071,553953.5,0.0,0.0,0,101,0.0,294.4,34311,60612-2022-18,POINT (-87.687011 41.88004),0.784375,0.0,0.9377984084880636
60612,19,2022-05-08,2022-05-14,106.0,8044.0,309.0,23444.4,2390.0,192457,6966,560919.2,0.1,0.0,0,101,0.0,294.4,34311,60612-2022-19,POINT (-87.687011 41.88004),0.9656250000000001,0.0,0.9238726790450927
60612,22,2022-05-29,2022-06-04,96.0,8353.0,280.0,24345.0,2312.0,199727,6738,582107.8,0.0,0.0,0,101,0.0,294.4,34311,60612-2022-22,POINT (-87.687011 41.88004),0.875,0.0,0.8936339522546418
60612,33,2022-08-14,2022-08-20,58.0,9253.0,169.0,26968.0,848.0,211694,2472,616985.8,0.1,0.1,0,104,0.0,303.1,34311,60612-2022-33,POINT (-87.687011 41.88004),0.5281250000000001,0.0,0.32785145888594164
60612,35,2022-08-28,2022-09-03,64.0,9362.0,186.0,27285.7,1375.0,213855,4008,623284.1,0.1,0.1,0,105,0.0,306.0,34311,60612-2022-35,POINT (-87.687011 41.88004),0.58125,0.0,0.5315649867374005
60612,36,2022-09-04,2022-09-10,45.0,9407.0,131.0,27416.9,1106.0,214961,3224,626507.5,0.0,0.1,0,105,0.0,306.0,34311,60612-2022-36,POINT (-87.687011 41.88004),0.40937500000000004,0.0,0.4275862068965517
60612,37,2022-09-11,2022-09-17,31.0,9438.0,90.0,27507.2,1384.0,216345,4034,630541.2,0.0,0.1,0,105,0.0,306.0,34311,60612-2022-37,POINT (-87.687011 41.88004),0.28125,0.0,0.5350132625994695
60612,38,2022-09-18,2022-09-24,31.0,9469.0,90.0,27597.6,1220.0,217565,3556,634096.9,0.0,0.1,0,105,0.0,306.0,34311,60612-2022-38,POINT (-87.687011 41.88004),0.28125,0.0,0.47161803713527845
60612,8,2022-02-20,2022-02-26,16.0,7554.0,47.0,22016.3,2425.0,167976,7068,489568.9,0.0,0.1,0,99,0.0,288.5,34311,60612-2022-8,POINT (-87.687011 41.88004),0.146875,0.0,0.9374005305039786
60612,11,2023-03-12,2023-03-18,19.0,10442.0,55.0,30433.4,967.0,241804,2818,704741.9,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-11,POINT (-87.687011 41.88004),0.171875,0.0,0.37374005305039787
60612,12,2023-03-19,2023-03-25,26.0,10468.0,76.0,30509.2,945.0,242749,2754,707496.1,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-12,POINT (-87.687011 41.88004),0.23750000000000002,0.0,0.3652519893899204
60612,13,2023-03-26,2023-04-01,29.0,10497.0,84.0,30593.7,976.0,243725,2845,710340.7,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-13,POINT (-87.687011 41.88004),0.2625,0.0,0.3773209549071618
60612,14,2023-04-02,2023-04-08,18.0,10515.0,52.0,30646.1,457.0,244182,1332,711672.6,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-14,POINT (-87.687011 41.88004),0.1625,0.0,0.17665782493368698
60612,15,2023-04-09,2023-04-15,17.0,10532.0,50.0,30695.7,885.0,245067,2579,714252.0,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-15,POINT (-87.687011 41.88004),0.15625,0.0,0.34204244031830233
60612,16,2023-04-16,2023-04-22,12.0,10544.0,35.0,30730.7,894.0,245961,2606,716857.6,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-16,POINT (-87.687011 41.88004),0.109375,0.0,0.3456233421750663
60612,17,2023-04-23,2023-04-29,21.0,10565.0,61.0,30791.9,822.0,246783,2396,719253.3,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-17,POINT (-87.687011 41.88004),0.19062500000000002,0.0,0.31777188328912465
60612,2,2023-01-08,2023-01-14,26.0,10140.0,76.0,29553.2,981.0,233592,2859,680807.9,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-2,POINT (-87.687011 41.88004),0.23750000000000002,0.0,0.3791777188328912
60612,4,2023-01-22,2023-01-28,29.0,10208.0,84.0,29751.4,865.0,235410,2521,686106.5,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-4,POINT (-87.687011 41.88004),0.2625,0.0,0.33435013262599467
60617,10,2024-03-03,2024-03-09,14.0,21595.0,17.0,26165.0,0.0,0,0,0.0,0.0,0.0,0,264,0.0,319.9,82534,60617-2024-10,POINT (-87.556897 41.721257),0.053125000000000006,0.0,0.0
60618,31,2021-08-01,2021-08-07,88.0,8883.0,93.0,9410.5,3497.0,153868,3705,163004.4,0.0,0.1,0,132,0.0,139.8,94395,60618-2021-31,POINT (-87.703343 41.946699),0.290625,0.0,0.4913793103448275
60618,32,2021-08-08,2021-08-14,138.0,9021.0,146.0,9556.7,3065.0,156933,3247,166251.4,0.0,0.1,0,132,0.0,139.8,94395,60618-2021-32,POINT (-87.703343 41.946699),0.45625000000000004,0.0,0.43063660477453575
60618,33,2021-08-15,2021-08-21,109.0,9130.0,116.0,9672.1,3378.0,160311,3579,169830.0,0.0,0.1,0,132,0.0,139.8,94395,60618-2021-33,POINT (-87.703343 41.946699),0.36250000000000004,0.0,0.47466843501326256
60618,35,2021-08-29,2021-09-04,118.0,9359.0,125.0,9914.7,3227.0,166679,3419,176576.1,0.0,0.1,0,133,0.0,140.9,94395,60618-2021-35,POINT (-87.703343 41.946699),0.390625,0.0,0.45344827586206893
60618,36,2021-09-05,2021-09-11,96.0,9455.0,102.0,10016.4,3340.0,170019,3538,180114.4,0.0,0.1,0,133,0.0,140.9,94395,60618-2021-36,POINT (-87.703343 41.946699),0.31875000000000003,0.0,0.4692307692307692
60618,39,2021-09-26,2021-10-02,95.0,9726.0,101.0,10303.5,5056.0,183636,5356,194540.0,0.0,0.1,0,134,0.0,142.0,94395,60618-2021-39,POINT (-87.703343 41.946699),0.31562500000000004,0.0,0.7103448275862069
60618,41,2021-10-10,2021-10-16,58.0,9848.0,61.0,10432.8,4794.0,193714,5079,205216.4,0.0,0.1,0,135,0.0,143.0,94395,60618-2021-41,POINT (-87.703343 41.946699),0.19062500000000002,0.0,0.6736074270557029
