ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60612,52,2021-12-26,2022-01-01,743.0,6287.0,2166.0,18323.6,3628.0,141906,10574,413587.5,0.2,0.1,2,83,5.8,241.9,34311,60612-2021-52,POINT (-87.687011 41.88004)
60612,1,2022-01-02,2022-01-08,603.0,6890.0,1758.0,20081.0,4423.0,146329,12891,426478.4,0.2,0.1,6,89,17.5,259.4,34311,60612-2022-1,POINT (-87.687011 41.88004)
60612,14,2022-04-03,2022-04-09,31.0,7670.0,90.0,22354.3,2121.0,181657,6182,529442.5,0.0,0.0,0,101,0.0,294.4,34311,60612-2022-14,POINT (-87.687011 41.88004)
60612,17,2022-04-24,2022-04-30,82.0,7852.0,239.0,22884.8,2427.0,187641,7074,546882.9,0.0,0.0,0,101,0.0,294.4,34311,60612-2022-17,POINT (-87.687011 41.88004)
60612,18,2022-05-01,2022-05-07,86.0,7938.0,251.0,23135.4,2426.0,190067,7071,553953.5,0.0,0.0,0,101,0.0,294.4,34311,60612-2022-18,POINT (-87.687011 41.88004)
60612,19,2022-05-08,2022-05-14,106.0,8044.0,309.0,23444.4,2390.0,192457,6966,560919.2,0.1,0.0,0,101,0.0,294.4,34311,60612-2022-19,POINT (-87.687011 41.88004)
60612,2,2022-01-09,2022-01-15,313.0,7203.0,912.0,20993.3,3765.0,150094,10973,437451.5,0.1,0.1,2,91,5.8,265.2,34311,60612-2022-2,POINT (-87.687011 41.88004)
60612,22,2022-05-29,2022-06-04,96.0,8353.0,280.0,24345.0,2312.0,199727,6738,582107.8,0.0,0.0,0,101,0.0,294.4,34311,60612-2022-22,POINT (-87.687011 41.88004)
60612,28,2022-07-10,2022-07-16,85.0,8861.0,248.0,25825.5,1018.0,206989,2967,603273.0,0.1,0.1,2,103,5.8,300.2,34311,60612-2022-28,POINT (-87.687011 41.88004)
60612,29,2022-07-17,2022-07-23,107.0,8968.0,312.0,26137.4,1054.0,208043,3072,606344.9,0.1,0.1,1,104,2.9,303.1,34311,60612-2022-29,POINT (-87.687011 41.88004)
60612,33,2022-08-14,2022-08-20,58.0,9253.0,169.0,26968.0,848.0,211694,2472,616985.8,0.1,0.1,0,104,0.0,303.1,34311,60612-2022-33,POINT (-87.687011 41.88004)
60612,34,2022-08-21,2022-08-27,45.0,9298.0,131.0,27099.2,786.0,212480,2291,619276.6,0.1,0.1,1,105,2.9,306.0,34311,60612-2022-34,POINT (-87.687011 41.88004)
60612,35,2022-08-28,2022-09-03,64.0,9362.0,186.0,27285.7,1375.0,213855,4008,623284.1,0.1,0.1,0,105,0.0,306.0,34311,60612-2022-35,POINT (-87.687011 41.88004)
60612,36,2022-09-04,2022-09-10,45.0,9407.0,131.0,27416.9,1106.0,214961,3224,626507.5,0.0,0.1,0,105,0.0,306.0,34311,60612-2022-36,POINT (-87.687011 41.88004)
60612,37,2022-09-11,2022-09-17,31.0,9438.0,90.0,27507.2,1384.0,216345,4034,630541.2,0.0,0.1,0,105,0.0,306.0,34311,60612-2022-37,POINT (-87.687011 41.88004)
60612,38,2022-09-18,2022-09-24,31.0,9469.0,90.0,27597.6,1220.0,217565,3556,634096.9,0.0,0.1,0,105,0.0,306.0,34311,60612-2022-38,POINT (-87.687011 41.88004)
60612,5,2022-01-30,2022-02-05,35.0,7481.0,102.0,21803.5,2815.0,159967,8204,466226.6,0.0,0.1,1,99,2.9,288.5,34311,60612-2022-5,POINT (-87.687011 41.88004)
60612,8,2022-02-20,2022-02-26,16.0,7554.0,47.0,22016.3,2425.0,167976,7068,489568.9,0.0,0.1,0,99,0.0,288.5,34311,60612-2022-8,POINT (-87.687011 41.88004)
60612,11,2023-03-12,2023-03-18,19.0,10442.0,55.0,30433.4,967.0,241804,2818,704741.9,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-11,POINT (-87.687011 41.88004)
60612,12,2023-03-19,2023-03-25,26.0,10468.0,76.0,30509.2,945.0,242749,2754,707496.1,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-12,POINT (-87.687011 41.88004)
60612,13,2023-03-26,2023-04-01,29.0,10497.0,84.0,30593.7,976.0,243725,2845,710340.7,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-13,POINT (-87.687011 41.88004)
60612,14,2023-04-02,2023-04-08,18.0,10515.0,52.0,30646.1,457.0,244182,1332,711672.6,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-14,POINT (-87.687011 41.88004)
60612,15,2023-04-09,2023-04-15,17.0,10532.0,50.0,30695.7,885.0,245067,2579,714252.0,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-15,POINT (-87.687011 41.88004)
60612,16,2023-04-16,2023-04-22,12.0,10544.0,35.0,30730.7,894.0,245961,2606,716857.6,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-16,POINT (-87.687011 41.88004)
60612,17,2023-04-23,2023-04-29,21.0,10565.0,61.0,30791.9,822.0,246783,2396,719253.3,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-17,POINT (-87.687011 41.88004)
60612,2,2023-01-08,2023-01-14,26.0,10140.0,76.0,29553.2,981.0,233592,2859,680807.9,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-2,POINT (-87.687011 41.88004)
60612,4,2023-01-22,2023-01-28,29.0,10208.0,84.0,29751.4,865.0,235410,2521,686106.5,0.0,0.1,0,109,0.0,317.7,34311,60612-2023-4,POINT (-87.687011 41.88004)
60617,10,2024-03-03,2024-03-09,14.0,21595.0,17.0,26165.0,0.0,0,0,0.0,0.0,0.0,0,264,0.0,319.9,82534,60617-2024-10,POINT (-87.556897 41.721257)
60618,31,2021-08-01,2021-08-07,88.0,8883.0,93.0,9410.5,3497.0,153868,3705,163004.4,0.0,0.1,0,132,0.0,139.8,94395,60618-2021-31,POINT (-87.703343 41.946699)
60618,32,2021-08-08,2021-08-14,138.0,9021.0,146.0,9556.7,3065.0,156933,3247,166251.4,0.0,0.1,0,132,0.0,139.8,94395,60618-2021-32,POINT (-87.703343 41.946699)
60618,33,2021-08-15,2021-08-21,109.0,9130.0,116.0,9672.1,3378.0,160311,3579,169830.0,0.0,0.1,0,132,0.0,139.8,94395,60618-2021-33,POINT (-87.703343 41.946699)
60618,34,2021-08-22,2021-08-28,111.0,9241.0,118.0,9789.7,3141.0,163452,3328,173157.5,0.0,0.1,1,133,1.1,140.9,94395,60618-2021-34,POINT (-87.703343 41.946699)
60618,35,2021-08-29,2021-09-04,118.0,9359.0,125.0,9914.7,3227.0,166679,3419,176576.1,0.0,0.1,0,133,0.0,140.9,94395,60618-2021-35,POINT (-87.703343 41.946699)
60618,36,2021-09-05,2021-09-11,96.0,9455.0,102.0,10016.4,3340.0,170019,3538,180114.4,0.0,0.1,0,133,0.0,140.9,94395,60618-2021-36,POINT (-87.703343 41.946699)
60618,39,2021-09-26,2021-10-02,95.0,9726.0,101.0,10303.5,5056.0,183636,5356,194540.0,0.0,0.1,0,134,0.0,142.0,94395,60618-2021-39,POINT (-87.703343 41.946699)
60618,40,2021-10-03,2021-10-09,64.0,9790.0,68.0,10371.3,5284.0,188920,5598,200137.7,0.0,0.1,1,135,1.1,143.0,94395,60618-2021-40,POINT (-87.703343 41.946699)
60618,41,2021-10-10,2021-10-16,58.0,9848.0,61.0,10432.8,4794.0,193714,5079,205216.4,0.0,0.1,0,135,0.0,143.0,94395,60618-2021-41,POINT (-87.703343 41.946699)
60618,43,2021-10-24,2021-10-30,75.0,9991.0,80.0,10584.2,5188.0,204235,5496,216362.1,0.0,0.1,1,136,1.1,144.1,94395,60618-2021-43,POINT (-87.703343 41.946699)
60618,44,2021-10-31,2021-11-06,67.0,10058.0,71.0,10655.2,5490.0,209725,5816,222178.1,0.0,0.1,0,136,0.0,144.1,94395,60618-2021-44,POINT (-87.703343 41.946699)
60618,45,2021-11-07,2021-11-13,115.0,10173.0,122.0,10777.1,5432.0,215157,5754,227932.6,0.0,0.1,1,137,1.1,145.1,94395,60618-2021-45,POINT (-87.703343 41.946699)
60612,24,2023-06-11,2023-06-17,11.0,10633.0,32.0,30990.1,232.0,250454,676,729952.5,0.1,0.0,0,109,0.0,317.7,34311,60612-2023-24,POINT (-87.687011 41.88004)
60612,10,2024-03-03,2024-03-09,5.0,11255.0,15.0,32802.9,0.0,0,0,0.0,0.0,0.0,0,109,0.0,317.7,34311,60612-2024-10,POINT (-87.687011 41.88004)
60612,8,2024-02-18,2024-02-24,16.0,11236.0,47.0,32747.5,0.0,0,0,0.0,0.0,0.0,0,109,0.0,317.7,34311,60612-2024-8,POINT (-87.687011 41.88004)
60614,10,2024-03-03,2024-03-09,17.0,20227.0,24.0,28365.7,0.0,0,0,0.0,0.0,0.0,0,125,0.0,175.3,71308,60614-2024-10,POINT (-87.652064 41.922605)
60614,9,2024-02-25,2024-03-02,13.0,20210.0,18.0,28341.8,0.0,0,0,0.0,0.0,0.0,0,125,0.0,175.3,71308,60614-2024-9,POINT (-87.652064 41.922605)
60618,46,2021-11-14,2021-11-20,157.0,10330.0,166.0,10943.4,5995.0,221152,6351,234283.6,0.0,0.1,0,137,0.0,145.1,94395,60618-2021-46,POINT (-87.703343 41.946699)
60618,47,2021-11-21,2021-11-27,141.0,10471.0,149.0,11092.7,4944.0,226096,5238,239521.2,0.0,0.1,0,137,0.0,145.1,94395,60618-2021-47,POINT (-87.703343 41.946699)
60618,48,2021-11-28,2021-12-04,226.0,10697.0,239.0,11332.2,7280.0,233376,7712,247233.4,0.0,0.1,0,137,0.0,145.1,94395,60618-2021-48,POINT (-87.703343 41.946699)
